"question","answer","title","context"
"ニコシアはどこの首都か。","キプロス共和国","ニコシア","ニコシア [SEP] ニコシアは、キプロス共和国の首都。北キプロス・トルコ共和国の政庁所在地でもある。地元では、ギリシャ語でレフコシア（Lefkosia, ）、トルコ語でレフコシャと呼ばれている。"
"鏡（かがみ）が、反射するのはなに","可視光線","鏡","鏡 [SEP] 鏡（かがみ）は通常、主な可視光線を反射する部分を持つ物体。また、その性質を利用して光を反射させる器具を指す。"
"ヨーロッパ大陸とスカンディナビア半島に囲まれた海域を何と呼ぶか","バルト海","バルト海","バルト海 [SEP] バルト海（バルトかい、Baltic Sea）は、北ヨーロッパに位置する地中海。ヨーロッパ大陸とスカンディナビア半島に囲まれた海域である。ユーラシア大陸に囲まれた海域と説明されることもある。"
"財やサービスなどの商品を所有している人または存在している場所と、必要としている人または必要としている場所を結びつけることにより利益を得る産業または経済活動とはなんのことか","商業","商業","商業 [SEP] 商業（しょうぎょう）とは、財やサービスなどの商品を所有している人または存在している場所と、必要としている人または必要としている場所を結びつけることにより利益を得る産業または経済活動である。多くは貨幣の媒介を経て市場や個々の店舗において取引（商取引）という形式をとって行われる。ただし、貨幣や市場などを媒介しない例を含める場合には「交換」と呼ぶこともある。また、「商業的」という場合、「営利を目的として」という意味になる（例：商業的生産）。産業の類には含まれるものの、第一次産業と第二次産業とは大きく異なり、いわゆるサービス業に近い一面を持っている。"
"インド洋北部・インド洋南部・太平洋南部で発生する熱帯低気圧を何というか。","サイクロン","サイクロン","サイクロン [SEP] サイクロン (Cyclone) は、インド洋北部・インド洋南部・太平洋南部で発生する熱帯低気圧である。英語のCycloneは、低気圧、暴風全般を指す語でもある。"
"オランダ語の方言は？","リンブルフ語","リンブルフ語","リンブルフ語 [SEP] リンブルフ語は、オランダ語の方言、もしくはインド・ヨーロッパ語族西ゲルマン語群に属する言語。低地ドイツ語のうち低地フランク語に属するとされるが、オランダ、ベルギーでは西中部ドイツ語（中部ドイツ語）に属する言語として捉えられている。リンブルク語、リンブルグ語とも呼ばれる。"
"南太平洋に浮かぶ約170の島群からなる国家を何というか","トンガ王国","トンガ","トンガ [SEP] トンガ王国（トンガおうこく）、通称トンガは、南太平洋に浮かぶ約170の島群からなる国家で、イギリス連邦加盟国のひとつである。オセアニアのうちポリネシアに属し、サモアの南、フィジーの東に位置し、首都のヌクアロファは最大の島トンガタプ島にある。"
"『イングランド国教会の39箇条』（聖公会大綱）はいつ制定されたか","1563年","聖公会","聖公会 [SEP] 聖公会の信仰の規範となる教条としては、1563年に制定された『イングランド国教会の39箇条』（聖公会大綱）があるが、全聖公会に必須の教条というわけではない。聖公会の日本での組織である日本聖公会においては批准されていない。"
"ユヴェントスFC（Juventus Football Club, ）はどこのクラブか","イタリアのトリノ","ユヴェントスFC","ユヴェントスFC [SEP] ユヴェントスFC（Juventus Football Club, ）は、イタリアのトリノをホームタウンとする、レガ・カルチョに加盟するプロサッカークラブ。"
"2次元座標データを扱う従来のGKSを拡張して、3次元座標データーを扱えるようにした規格とは？","GKS-3D","Graphical_Kernel_System","Graphical_Kernel_System [SEP] GKS-3Dは、2次元座標データを扱う従来のGKSを拡張して、3次元座標データーを扱えるようにした規格で、1988年に規定された。拡張によって、隠線や隠面の消去処理など3次元コンピュータグラフィックス特有の機能を処理することが可能となった。"
"シカは世界で何種いるか？","36種","シカ","シカ [SEP] シカ（鹿）は、鯨偶蹄目シカ科  に属する哺乳類の総称である。ニホンジカ、トナカイ、ヘラジカなどが属しており、約16属36種が世界中の森林に生息している。"
"2つの極（磁極）を持ち、双極性の磁場を発生させる源となる物体を何と呼ぶ？","磁石","磁石","磁石 [SEP] 磁石（じしゃく、、マグネット）は、2つの極（磁極）を持ち、双極性の磁場を発生させる源となる物体。鉄などの強磁性体を引き寄せる性質を持つ。磁石同士を近づけると、異なる極は引き合い、同じ極は反発しあう。"
"旧民事訴訟法は何年施行か？","明治23年","民事執行法","民事執行法 [SEP] 民事執行法が制定される前は、いわゆる旧民事訴訟法（明治23年法律第29号）の強制執行編に私法上の権利を強制的に実現させるための手続（強制執行手続）に関する規定が盛り込まれていた。しかし、旧民事訴訟法の制定以来、強制執行に関する法制度は抜本的な改正がされていない状態であり、手続上の様々な不備が露見していた。"
"王立学会の設立は何年？","1660年","王立学会","王立学会 [SEP] 王立学会（おうりつがっかい、Royal Society）は、1660年にロンドンで作られた民間の科学に関する団体である「自然についての知識を改善するためのロンドン王立学会」（The Royal Society of London for Improving Natural Knowledge）のことである。他の日本語訳として王立協会（おうりつきょうかい）、王認学会（おうにんがっかい）がある。結成以来現在まで続いており、最古の学会である。ロイヤルという名前は1662年にチャールズ2世の勅許を得て法人格を得たためつけられたが、国王または女王はあくまで守護者（パトロン）と言う位置づけで、フランスの王立パリ科学アカデミーと違って国庫の補助はなく、1850年に政府の補助金を得るまで会員の会費によって運営されていた。王族フェロー、名誉フェロー、外国人フェロー（日本人を含む）を含めて2016年の時点で約1600人のフェローがおり、会員は「王立学会フェロー」を名乗ることが許可される。"
"中国新聞社は新聞発行以外にどんなことをしている？","書籍の刊行やイベントの主催など","中国新聞社","中国新聞社 [SEP] 地方紙（中国地方のブロック紙）の中国新聞を発刊しており、新聞発行のほかに、書籍の刊行やイベントの主催なども行っている。本社は広島市にあり、広島県福山市と山口県山口市にも地域本社を置く3本社体制である。"
"特定の男性祖先から男性のみを通じて出自がたどれる子孫から成る集団","父系出自集団","氏族","氏族 [SEP] 単系出自集団（unilineal descent group。特定の祖先から男性または女性のみを通じて親子関係がたどれる子孫の作る集団）の一つ。特定の男性祖先から男性のみを通じて出自がたどれる子孫から成る集団を父系出自集団といい、特定の女性祖先から女性のみを通じて出自がたどれる子孫から成る集団を女系出自集団という。"
"原子を構成している電子の振舞いは原子核による静電ポテンシャル中の3次元シュレーディンガー方程式を解くことで得られるものは","電子配置","電子配置","電子配置 [SEP] 原子を構成している電子の振舞いは原子核による静電ポテンシャル中の3次元シュレーディンガー方程式を解くことで得られる。特に水素原子におけるシュレーディンガー方程式の解は解析的に解ける。電子のとり得る軌道は、主量子数 n、方位量子数 l、磁気量子数 m の3つによって規定される。"
"裁判官、検察官、弁護士を指すことはなんと言われるか","法曹三者","法曹","法曹 [SEP] 特に、裁判官、検察官、弁護士を指すことがあり、法曹三者ともいわれる。法律学研究者を含め研究法曹、実務法曹と呼び分けることもまれにある。類義語に法律家などがあるが、一般に法学者とは異なる。"
"「ゴットランド」の言葉の意味は？","ゴート族の土地","古ゴットランド語","古ゴットランド語 [SEP] 古ゴットランド語（こゴットランドご）とは、インド・ヨーロッパ語族ゲルマン語派北ゲルマン語群に属する言語である。古ノルド語のゴットランドにおける方言である。古西ノルド語と古東ノルド語の両方の特徴を持っているが、この方言はほとんど知られていないため、古東ノルド語に含めることもある。現代ゴットランド語は今でも話されている。ゴットランドとは「ゴート族の土地」という意味である。"
"ユニバーサル ミュージック グループはどこの国の音楽会社。","アメリカ","ユニバーサル_ミュージック_グループ","ユニバーサル_ミュージック_グループ [SEP] ユニバーサル ミュージック グループは、アメリカの音楽会社。ワーナー・ミュージック・グループ、ソニー・ミュージックエンタテインメントと共に、世界3大レーベルのひとつである。オペレーション本部をカリフォルニア州・サンタモニカに、コーポレート本部（役員オフィス）をオランダ・ヒルフェルスムに置く。"
"ガールフレンド（仮）は何から正式名称になった？","仮題","ガールフレンド（仮）","ガールフレンド（仮） [SEP] タイトルに「（仮）」とあるが、これが正式な名称である。元は仮題だったが、チーム内で「運命の子を探しにいくまでの“（仮）”」という意味づけがなされ、そのまま正式採用となった。"
"正室以外を何と言うか？","側室","正室","正室 [SEP] 正室（せいしつ）は、高貴な人物の正式な妻のこと。正妻、本妻とも言う。律令制の元では嫡妻（ちゃくさい）とも呼ばれていた（原則一人）。これに対し、正室以外を側室（『大辞泉』）という。"
"キャンピングカー、オーストラリアで呼ばれているのは？","Camper","キャンピングカー","キャンピングカー [SEP] 広義では米国の'、狭義では同様に米国での大型自走式「'（モーターホーム）」と同義。また欧州ではドイツ語で牽引タイプを'やキャラバン、自走式を'と呼んでいる。オーストラリアではCamperと呼ぶことが多い。これらを日本ではすべてキャンピングカーと呼ぶ。フランス語ではは自走式のキャンピングカーを指す。"
"通信先の指定及び呼び出しを行う総称は？","Internet_Protocol","Internet_Protocol","Internet_Protocol [SEP] ネットワークに接続されている全てのコンピュータに対して、IPアドレスと呼ばれる番号を付与し、その番号を用いて通信先の指定及び呼び出しを行う（この考え方は電話番号と似ている）。俗にIPアドレスを「IP」と呼ぶことがあるが、厳密には誤記・誤称である。"
"カルシウムを貯蔵するとこるは？","骨","骨","骨 [SEP] 誰でも体得的に知っている骨の機能として、身体の保持や姿勢の維持、各種器官の外力からの保護と言った、その硬さを活かした機能を持つものの、骨の機能はそれだけに留まらない。例えば、カルシウムは地球上の全ての動物にとって不可欠な元素の1つである。特に、陸上に棲息している脊椎動物にとっては、カルシウムを貯蔵し、さらに体液中のカルシウムの濃度調節にも関わっている。"
"ISO/IEC 8859-13:1998 は、ISO/IEC 8859 の第何部？","第13部","ISO/IEC_8859-13","ISO/IEC_8859-13 [SEP] ISO/IEC 8859-13:1998 は、ISO/IEC 8859 の第13部であり、バルト海沿岸の諸言語のためのラテンアルファベットの文字コードの標準である。1998年に初版が制定された。公式の名称ではないが、Latin-7 と呼ばれることがある。"
"エストニア共和国の首都は","タリン","タリン","タリン [SEP] タリン（ ）は、バルト海東部のフィンランド湾に面するエストニア共和国の首都。旧称はレーバル（ドイツ語・デンマーク語: ）、ロシア帝国時代の名はレーヴェリ、エストニア・ソビエト時代の名はタリンである。人口約42万人。旧市街は世界遺産『タリン歴史地区』に指定されている。"
"イギリスでは整理解雇に、なんという法的用語を充てているか。","Redundancy","整理解雇","整理解雇 [SEP] 整理解雇（せいりかいこ, Employment redundancy）とは、事業を継続において余剰となった人員整理としての使用者からの労働契約（雇用契約）の解除のことを指す。イギリスにおいてはRedundancy（余剰解雇）と表現され、139条に基づく法的用語である。日本では解雇の種類の中の「普通解雇」に属するもので、法律上の用語ではなく、裁判での判例により浮上してきた労働慣例での用語である。"
"砂浜にネットを張ったコートでおこなう球技は？","ビーチバレー","ビーチバレー","ビーチバレー [SEP] 砂浜にネットを張ったコートで、2人1組のチーム同士で対戦する。アメリカ発祥のビーチスポーツで、1996年のアトランタオリンピックよりオリンピックの正式種目となった。"
"チリの公式の英語表記はなにか。","Republic of Chile","チリ","チリ [SEP] 正式名称はRepública de Chile（レプブリカ・デ・チレ）。通称 Chile（チーレ ，或いはシーレ）。公式の英語表記はRepublic of Chile。通称 Chile（チリ 。"
"ブルンジ共和国はどこに位置するか","東アフリカの内陸","ブルンジ","ブルンジ [SEP] ブルンジ共和国（ブルンジきょうわこく、通称ブルンジ）は、東アフリカの内陸に位置する国家。ルワンダ・コンゴ民主共和国・タンザニアと国境を接する。一方で多数派のフツと少数派のツチの間で対立があり、1962年の独立以降はたびたび衝突し1993年には内戦にまで発展している。政治面の首都はギテガ、経済面の首都はブジュンブラである。"
"仏教の開祖は？","釈迦","釈迦","釈迦 [SEP] 釈迦（釋迦、しゃか）は北インドの人物で、歴史上に実在した仏陀、仏教の開祖。ただし、存命していた時代については後述の通り紀元前７世紀、紀元前６世紀、紀元前５世紀など複数の説があり、正確な生没年は分かっていない。"
"アイヌのチャシがある都道府県は？","北海道","日本の城","日本の城 [SEP] 日本の城（にっぽんのしろ・にほんのしろ）では、日本国内に築かれた城について解説する。北海道に築かれたアイヌのチャシ、沖縄県および鹿児島県の奄美群島にあったグスクについても一部解説する。"
"テューリンゲン州とは？","ドイツを構成する16の連邦州のひとつ","テューリンゲン州","テューリンゲン州 [SEP] テューリンゲン州は、ドイツを構成する16の連邦州のひとつである。ドイツ再統一時に誕生した新連邦州5州の一つ。州都はエアフルト。"
"演者は何におかれたと呼ばれる小さな机の前に座る","高座","講談","講談 [SEP] 演者は高座におかれたと呼ばれる小さな机の前に座り、でそれを叩いて調子を取りつつ、軍記物（軍記読み）や政談など主に歴史にちなんだ読み物を、観衆に対して読み上げる。上方講談においては、張り扇と拍子木を併用する。"
"TXNネットワークのキー局は？","テレビ東京","TXNネットワーク","TXNネットワーク [SEP] キー局であるテレビ東京のコールサインがJOTX-DTV であるため「TXN」と命名している。正式名称は「TXNネットワーク」で、その略称が「TXN」だが「N」の部分については「ネットワーク」と敢えて重複させているのか、もしくはNews（ニュース）やNationwide（国内広域）など多義的な意味を持たせているのかについて公式の説明はない。そうした理由から、TXネットワーク（TX Network）、テレビ東京ネットワーク（TV Tokyo Network）、テレビ東京系列、TXN系列のように様々な別名で呼ばれることがある。"
"RGBは何の頭文字でできていますか。","三原色","RGB","RGB [SEP] RGB（またはRGBカラーモデル）とは、色の表現法の一種で、赤 (Red)(●)、緑 (Green)(●)、青 (Blue)(●) の三つの原色を混ぜて幅広い色を再現する加法混合の一種である。RGBは三原色の頭文字である。ブラウン管（CRT）や液晶ディスプレイ（LCD）、パソコン、デジタルカメラなどで画像再現に使われている。"
"シアン、マゼンタ、イエローと、キー・プレートから、頭文字1字を取ったものは","CMYK","CMYK","CMYK [SEP]  は、シアン、マゼンタ、イエローと、キー・プレートから、頭文字1字を取ったものである。キー・プレートは、他の印刷の合わせになる版のことで、通常、文字や図の輪郭を表す黒で印刷される。CMYKのが、ブルーと混同しないようにブラックのKを用いたものであるとか、日本語の黒に由来するという説明は誤りである。ただし、CMYKはと表記されることもあり、この場合の はブラックを指す。"
"中東に存在する仏教信者は約何万人？","約90万人","中東の仏教","中東の仏教 [SEP] 中東には約90万人、もしくはそれ以上の仏教信者が存在すると推定されている。中東の仏教信者は中東全体の総人口の0.3％以上を占めている。この仏教信者の多くは過去20年間にアジア他地域から中東へとやってきた外国人労働者であり、彼らは中国、ベトナム、タイ、スリランカ、ネパールといった仏教信者の多い国からやってきている。また、日本、台湾、香港、シンガポール、韓国から中東へとやってきた技術者や企業の重役の中にも仏教信者が存在する。"
"シリンダなど機関内においてガソリンなどの燃料を燃焼させ、発生した燃焼ガスを用いて直接機械仕事を得る原動機は何か。","内燃機関","内燃機関","内燃機関 [SEP] 内燃機関（ないねんきかん）とは、シリンダなど機関内においてガソリンなどの燃料を燃焼させ、それによって発生した燃焼ガスを用いて直接に機械仕事を得る原動機をいう。内燃機関では燃焼ガスを直接作動流体として用いて、その熱エネルギーによって仕事をする。これに対して、蒸気タービンのように燃焼ガスと作動流体がまったく異なる原動機を外燃機関という。"
"狭義にはインターネットに存在する情報（ウェブページ、ウェブサイト、画像ファイル、ネットニュースなど）を検索する機能およびそのプログラムを何というか","検索エンジン","検索エンジン","検索エンジン [SEP] 検索エンジン（けんさくエンジン）は、狭義にはインターネットに存在する情報（ウェブページ、ウェブサイト、画像ファイル、ネットニュースなど）を検索する機能およびそのプログラム。インターネットの普及初期には、検索としての機能のみを提供していたウェブサイトそのものを検索エンジンと呼んだが、現在では様々なサービスが加わったポータルサイト化が進んだため、検索をサービスの一つとして提供するウェブサイトを単に検索サイトと呼ぶことはなくなっている。広義には、インターネットに限定せず情報を検索するシステム全般を含む。"
"出雲大社があるのは島根県の何市か？","出雲市","出雲市","出雲市 [SEP] 出雲市（いずもし）は、島根県の中東部にある島根県内では２番目の人口を抱える市。出雲大社などの多くの観光名所がある。"
"XP以前に同様の統合化を試みたOSは？","Windows 2000","Microsoft_Windows_XP","Microsoft_Windows_XP [SEP] その状況はマイクロソフトにとっては開発リソースが2つの製品に向けて分散される等の大きな課題となり、9x系ではマルチメディア機能の拡張と共にシステムリソースに余裕が無くなりクラッシュが多発するようになる（特にWindows Meで顕著）など、構造面でも限界に達しており、開発負荷の軽減と、マルチメディア対応の安定したOSを作る目的で、一般家庭向けの9x系をNT系に統合することを目標に開発された。XP以前に同様の統合化を試みたWindows 2000を基本に、その際の統合の成功に至らなかった機能も含めて開発されている。この機能統合の成功により、XPはNTの安定性・堅牢性と9x系のマルチメディア機能や使いやすさを併せ持った汎用OSとなった。NTカーネルを採用した一般家庭向けのWindowsはXPが初であり、XPのリリースによって、一般市民が初めて安定に動作するOSを手軽に入手・利用することができるようになった。XPの開発成功を受け、マイクロソフトは長年の懸案であった9x系の終息を成すことができた。"
"劇場に付属する劇団が極めて限られた存在である国を一つ挙げよ。","日本","劇団","劇団 [SEP] 日本では、劇場に付属する劇団は極めて限られた存在である。劇団員が固定化していない劇団もあり、主演者などを外部から招いて興行をする形も多く見受けられる。"
"漢文において集落をつくれるほどの大きさのものを何というか","州","州","州 [SEP] 洲とも書く。本来は州が中州を意味したが、州が行政区画も意味するようになったので、さんずいを加えて中州の意味を明らかにした字が洲である。しかし、古くから互いに通用できる。特に現代日本では、洲が常用漢字でないため、意味にかかわらず州と書くことが多い。また漢文においては、集落をつくれるほどの大きさのものを州、それよりも小さなものの場合を島として書き分けているが、いずれも「しま」と訓じている。"
"オブジェクトの特徴として、オブジェクト自身の手続きが自身のデータフィールドを読み書きできることが挙げられる","オブジェクト指向プログラミング","オブジェクト指向プログラミング","オブジェクト指向プログラミング [SEP] オブジェクトの特徴として、オブジェクト自身の手続きが自身のデータフィールドを読み書きできることが挙げられる(オブジェクトにはやという概念がある)。また、OOPでは、相互に作用するオブジェクトを組み合わせてプログラムを設計する。OOP言語のありかたは多様であるが、最も一般的といえるものは、オブジェクトがクラスのインスタンスであり、また、オブジェクトの型もクラスとして規定されるクラスベースといわれるものである。"
"低価格で販売される最新のOSとは。","Android OS","Android_One","Android_One [SEP] 一定の期間、最新のAndroid OSへのアップグレードが確約されていることが特徴である。Googleが各国のパートナーとハードウェア・ソフトウェアの両面で協力して開発することで、実用十分なスペックを持ち、最新のAndroid OSを搭載しながらも低価格で販売される。"
"江戸幕府の第5代征夷大将軍の名前は？","徳川綱吉","徳川綱吉","徳川綱吉 [SEP] 徳川綱吉（とくがわ つなよし）は、上野・館林藩初代藩主、江戸幕府の第5代征夷大将軍（在職：1680年 - 1709年）。第3代将軍・徳川家光の四男。館林徳川家初代。"
"セイラムの古名は","ソールズベリー","イギリスの音楽","イギリスの音楽 [SEP] 11世紀以降、セイラム（ソールズベリーの古名）でソールズベリー聖歌が発達し、この聖歌はイギリス国教会の成立まで盛んであった。また、13世紀末の「夏は来りぬ Sumer is icumen in」は、現存する世界最古のカノンである。13世紀前後のフランスのカロルという舞曲がイギリスに伝えられ、14〜15世紀になると多くのキャロルが作られた。キャロルは、500編の歌詞と100曲あまりの旋律が残されている。"
"南米サッカー連盟はいつ設立された？","1916年","南米サッカー連盟","南米サッカー連盟 [SEP] 南米サッカー連盟（なんべいサッカーれんめい）は、南アメリカにおける各国の協会を統括する、国際サッカー連盟（FIFA）傘下のサッカーの大陸連盟。略称はCONMEBOL（コンメボル）。1916年に設立。パラグアイの首都・アスンシオン近郊にあるルケに本部を置く。10協会が加盟。"
"モータリゼーションは何を意味する言葉か","自動車化","モータリゼーション","モータリゼーション [SEP] モータリゼーション (motorization) とは英語で「動力化」「自動車化」を意味する言葉で、すなわち自動車が社会と大衆に広く普及し、生活必需品化する現象である。狭義では、自家用乗用車の普及という意味で言われることが多い。"
"JPEGは、コンピュータなどで扱われる何のデジタルデータを圧縮する方式のひとつですか。","静止画像","JPEG","JPEG [SEP] JPEG（ジェイペグ、Joint Photographic Experts Group）は、コンピュータなどで扱われる静止画像のデジタルデータを圧縮する方式のひとつ。またはそれをつくった組織 (ISO/IEC JTC 1/SC 29/WG 1, Joint Photographic Experts Group) の略称であり、アクロニムである。JPEG方式による画像ファイルにつけられる拡張子はjpgが多く使われるほか、jpeg等が使われる場合もある。"
"東京箱根間往復大学駅伝競走が始まったのは何年か。","1920年","東京箱根間往復大学駅伝競走","東京箱根間往復大学駅伝競走 [SEP] 東京箱根間往復大学駅伝競走（とうきょうはこねかんおうふくだいがくえきでんきょうそう）は、1920年より毎年1月2日と翌3日の2日間にわたり行われる関東地方の大学駅伝の競技会（地方大会）である。関東学生陸上競技連盟（以下「関東学連」という。）が主催し読売新聞社が共催する。一般には箱根駅伝（はこねえきでん）と呼ばれ、その実施については関東学連が定める「東京箱根間往復大学駅伝競走に関する内規」（以下「内規」という。）に定められている。"
"『点と線』『眼の壁』が発表されたのは","1958年","松本清張","松本清張 [SEP] 1953年に『或る「小倉日記」伝』で芥川賞を受賞。以降しばらく、歴史小説・現代小説の短編を中心に執筆した。1958年には『点と線』『眼の壁』を発表。これらの作品がベストセラーになり松本清張ブーム、社会派推理小説ブームを起こす。"
"俳優、ミュージシャン、コメディアン、パフォーマーといった芸能人が芸能活動をする上で本名のほかに持つ名の事を何という？","芸名","芸名","芸名 [SEP] 芸名（げいめい）とは、俳優、ミュージシャン、コメディアン、パフォーマーといった芸能人が芸能活動をする上で本名のほかに持つ名。芸名は様々な理由で採用されている。状況によっては、使用者が芸名を本名として正式に採用する場合もある。"
"バラク・フセイン・オバマ2世の務めた任期はどれだけか？","2期8年","バラク・オバマ","バラク・オバマ [SEP] バラク・フセイン・オバマ2世（英語： 、1961年8月4日 - ）は、アメリカ合衆国の政治家、弁護士。同国第44代大統領（在任：2009年1月20日 - 2017年1月20日）。イリノイ州議会上院議員、同州選出連邦上院議員などを歴任した後は2009年1月20日に大統領に就任し、初のアフリカ系・有色人種・ハワイ生まれの大統領となり、2017年1月20日に2期8年の任期を務めあげた。なおバラック・オバマとも表記される。"
"日本電信電話株式会社を略すと？","NTT","日本電信電話","日本電信電話 [SEP] 日本電信電話株式会社（にっぽんでんしんでんわ、、略称: NTT）は、日本電信電話株式会社等に関する法律に基づき、通信事業を主体とする企業集団であるNTTグループの持株会社として設立された特殊会社。日経平均株価およびTOPIX Core30、JPX日経インデックス400の構成銘柄の一つ。"
"時代劇というジャンルは、何時代を扱った作品として解釈されているか","平安時代から明治維新まで","時代劇","時代劇 [SEP] 時代劇というジャンルは、その作品の数から、主に平安時代から明治維新までを扱った作品が「時代劇」とも解釈されている。しかしあくまで解釈であって、厳密に定義があるわけではない。奈良時代以前の古代も含まれるという解釈も当然存在する。時代劇映画をさして「明治維新の頃より以前の時代を扱った劇映画の呼称で、現代劇に対するジャンルとして多様な広がりを持っている」とするもの、また「髷（マゲ）を結んだ人物が主な登場人物であれば全て時代劇映画と定義する」とするもの、など解釈は多様である。"
"チェロの弦の数は？","4本","チェロ","チェロ [SEP] チェロ（ヴィオロンチェロ、セロとも）は、西洋音楽で使われるヴァイオリン属の弦楽器の一種である。弦の数は4本。略号は「Vc」。"
"料理の調味に使う材料を何という","調味料","調味料","調味料 [SEP] 調味料（ちょうみりょう、英: Seasoning）は、料理の調味に使う材料。主なものに、砂糖、塩、酢、醤油、味噌（さしすせそ）などがある。"
"高等教育における学位認定の質と水準を国が違っても同レベルのものとして扱うことができるように整備するのを目的として、ヨーロッパ諸国の間で実施された一連の行政会合および合意のことは","ボローニャ・プロセス","ボローニャ・プロセス","ボローニャ・プロセス [SEP] ボローニャ・プロセスとは、高等教育における学位認定の質と水準を国が違っても同レベルのものとして扱うことができるように整備するのを目的として、ヨーロッパ諸国の間で実施された一連の行政会合および合意のことである。ボローニャ協定、およびリスボン認証条約により、このプロセスはヨーロッパ高等教育圏を作り出すことになった。名称は提案された地名であるボローニャ大学にちなんでいる。ヨーロッパ統合のための施策の一部をなすものとして、1999年に29のヨーロッパ諸国の教育相により、ボローニャ宣言への調印が行われた。"
"歌劇の読みは？","かげき","オペラ","オペラ [SEP] オペラは、演劇と音楽によって構成される舞台芸術である。歌劇（かげき）とも呼ばれる。"
"スウェーデン語に特徴的な子音とは？","正書法上 sj と記される無声摩擦音","スウェーデン語のsj音","スウェーデン語のsj音 [SEP] スウェーデン語のsj音（スウェーデンごのエスジェーおん）は、スウェーデン語に特徴的な子音であり、正書法上 sj と記される無声摩擦音のことである。国際音声記号にはこの音を表すための専用の記号 が存在する。"
"複数の種類をひとつにして扱うメディアは？","マルチメディア","マルチメディア","マルチメディア [SEP] マルチメディア（英語：multimedia）とは、複数の種類の情報をひとまとめにして扱うメディアのことである。一般的には映像や音楽など動的コンテンツを含むイメージで捉えられることが多い。複合媒体と訳す。"
"シベリア出兵とは何に対する干渉戦争だった？","ロシア革命","シベリア出兵","シベリア出兵 [SEP] シベリア出兵（シベリアしゅっぺい）とは、1918年から1922年までの間に、第一次世界大戦の連合国（イギリス・日本・フランス・イタリア・アメリカ・カナダ・中華民国）が「革命軍によって囚われたチェコ軍団を救出する」を名目にシベリアに共同出兵した、ロシア革命に対する干渉戦争の一つ。日本史の外交上最も失敗した外交と言われている。"
"万国郵便連合の略称は？","UPU","万国郵便連合","万国郵便連合 [SEP] 万国郵便連合（ばんこくゆうびんれんごう）は、郵便に関する国際機関である。略称はUPU。"
"一般大衆の利益や権利を守り、大衆の支持のもとに、既存のエリート主義である体制側や知識人などに批判的な政治思想、または政治姿勢のことを何というか。","ポピュリズム","ポピュリズム","ポピュリズム [SEP] ポピュリズムとは、一般大衆の利益や権利を守り、大衆の支持のもとに、既存のエリート主義である体制側や知識人などに批判的な政治思想、または政治姿勢のことである。日本語では大衆主義（たいしゅうしゅぎ）や人民主義（じんみんしゅぎ）、平民主義などのほか、否定的な意味を込めて衆愚政治や大衆迎合主義（たいしゅうげいごうしゅぎ）などとも訳されている。"
"モーター日本語で言うと。","電動機","電気機関車","電気機関車 [SEP] 電気機関車は電化区間において架線などの外部電源から電力を受電し、その電力を電動機（モーター）で動力へ変換し走行する。電気機関車が動力装置をもたない客車や貨車を牽引する列車の運転方法を動力集中方式という。これに対し、列車の複数の車両に動力装置を分散させる電車は動力分散方式という。それぞれの方式の得失は当該の項目を参照。"
"ジャパン・プロフェッショナル・バスケットボールリーグの略称は？","B.LEAGUE","ジャパン・プロフェッショナル・バスケットボールリーグ","ジャパン・プロフェッショナル・バスケットボールリーグ [SEP] ジャパン・プロフェッショナル・バスケットボールリーグは、日本のプロバスケットボールリーグである。略称はB.LEAGUE（Bリーグ）。"
"ルーマニアの公用語は何ですか。","ルーマニア語","ルーマニア語","ルーマニア語 [SEP] ルーマニア語（ルーマニアご、 ）は、ルーマニアの公用語であり、またその周辺地域でも使用されている言語である。インド・ヨーロッパ語族ロマンス諸語に分類されるが、孤立して発達したために他のロマンス諸語との違いが大きい。モルドバ語はルーマニア語とほぼ同じ言語である。アルーマニア語は、ルーマニア語の方言とされる事もあるが、意思疎通が困難である。"
"昔の日本の初等教育における音楽教育は、昭和16年まで教科名を何と称していたか。","唱歌","教育楽器","教育楽器 [SEP] 　昔の日本の初等教育における音楽教育は、昭和16年(1941)まで教科名を「唱歌」と称したとおり歌唱中心主義で進められ、教育楽器といえばほとんど教師が示範伴奏に使用するオルガンやピアノであった。昭和33年(1958)の第2次「学習指導要領」改訂により、生徒に対する器楽教育が法的拘束力をもって行われるようになり、また楽器業界の働きかけもあって教育楽器が普及するようになった。"
"Portable_Network_Graphicsは圧縮による画質の劣化のない何の画像ファイルフォーマットでか？","可逆圧縮","Portable_Network_Graphics","Portable_Network_Graphics [SEP] はコンピュータでビットマップ画像を扱うファイルフォーマットである。圧縮アルゴリズムとしてDeflateを採用している、圧縮による画質の劣化のない可逆圧縮の画像ファイルフォーマットである。"
"超自然的または超人的な能力を持っているのは何か","スーパーヒーロー","スーパーヒーロー","スーパーヒーロー [SEP] スーパーヒーローは、超自然的または超人的な能力を持ち、一種の衣装を着て犯罪との戦いに専念する英雄的人物。そして、通常は市民を守るためにスーパーヴィランと戦う。女性のスーパーヒーローは、しばしばスーパーヒロイン（superheroine）と呼ばれる。特にアメリカンコミックでは、1930年代からスーパーヒーロー・フィクションとして知られている"
